Division Number: 84
Division Date: 17/11/2016

Reductions to Employment and Support Allowance and universal credit

Aye Count: 127
Noes Count: 0

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","No Vote Recorded",""
"Tasmina Ahmed-Sheikh","Scottish National Party","Ochil and South Perthshire","Aye",""
"Peter Aldous","Conservative","Waveney","No Vote Recorded",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No Vote Recorded",""
"Lucy Allan","Conservative","Telford","No Vote Recorded",""
"Heidi Allen","Conservative","South Cambridgeshire","Aye",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"David Amess","Conservative","Southend West","No Vote Recorded",""
"Stuart Andrew","Conservative","Pudsey","No Vote Recorded",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","Aye",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Victoria Atkins","Conservative","Louth and Horncastle","No Vote Recorded",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","Aye",""
"Steve Baker","Conservative","Wycombe","No Vote Recorded",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","No Vote Recorded",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Henry Bellingham","Conservative","North West Norfolk","No Vote Recorded",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No Vote Recorded",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","No Vote Recorded",""
"Clive Betts","Labour","Sheffield South East","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","Teller - Noes",""
"Bob Blackman","Conservative","Harrow East","No Vote Recorded",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Roberta Blackman-Woods","Labour","City of Durham","No Vote Recorded",""
"Nicola Blackwood","Conservative","Life peer","No Vote Recorded",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","Aye",""
"Paul Blomfield","Labour","Sheffield Central","Aye",""
"Crispin Blunt","Conservative","Reigate","No Vote Recorded",""
"Nick Boles","Conservative","Grantham and Stamford","No Vote Recorded",""
"Peter Bone","Conservative","Wellingborough","No Vote Recorded",""
"Philip Boswell","Scottish National Party","Coatbridge, Chryston and Bellshill","Aye",""
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Tracy Brabin","Labour","Batley and Spen","No Vote Recorded",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","Aye",""
"Suella Fernandes","Conservative","Fareham","No Vote Recorded",""
"Kevin Brennan","Labour","Cardiff West","No Vote Recorded",""
"Andrew Bridgen","Conservative","North West Leicestershire","No Vote Recorded",""
"Steve Brine","Conservative","Winchester","No Vote Recorded",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","Aye",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","Aye",""
"Lyn Brown","Labour","West Ham","Aye",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","No Vote Recorded",""
"Fiona Bruce","Conservative","Congleton","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda","No Vote Recorded",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No Vote Recorded",""
"Richard Burden","Labour","Birmingham, Northfield","No Vote Recorded",""
"Richard Burgon","Labour","Leeds East","No Vote Recorded",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"David Burrowes","Conservative","Enfield, Southgate","Aye",""
"Alistair Burt","Conservative","North East Bedfordshire","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","No Vote Recorded",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","No Vote Recorded",""
"Ruth Cadbury","Labour","Brentford and Isleworth","No Vote Recorded",""
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Ronnie Campbell","Labour","Blyth Valley","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye",""
"James Cartlidge","Conservative","South Suffolk","No Vote Recorded",""
"William Cash","Conservative","Stone","No Vote Recorded",""
"Maria Caulfield","Conservative","Lewes","No Vote Recorded",""
"Alex Chalk","Conservative","Cheltenham","No Vote Recorded",""
"Sarah Champion","Labour","Rotherham","No Vote Recorded",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Jenny Chapman","Labour","Darlington","No Vote Recorded",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","Aye",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No Vote Recorded",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No Vote Recorded",""
"Greg Clark","Conservative","Tunbridge Wells","No Vote Recorded",""
"Kenneth Clarke","Conservative","Rushcliffe","No Vote Recorded",""
"James Cleverly","Conservative","Braintree","No Vote Recorded",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No Vote Recorded",""
"Ann Clwyd","Labour","Cynon Valley","Aye",""
"Vernon Coaker","Labour","Gedling","No Vote Recorded",""
"Ann Coffey","Labour","Stockport","No Vote Recorded",""
"Th?r?se Coffey","Conservative","Suffolk Coastal","No Vote Recorded",""
"Damian Collins","Conservative","Folkestone and Hythe","No Vote Recorded",""
"Julie Cooper","Labour","Burnley","No Vote Recorded",""
"Rosie Cooper","Labour","West Lancashire","Aye",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","No Vote Recorded",""
"Jeremy Corbyn","Labour","Islington North","No Vote Recorded",""
"Alberto Costa","Conservative","South Leicestershire","No Vote Recorded",""
"Robert Courts","Conservative","Witney","No Vote Recorded",""
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No Vote Recorded",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No Vote Recorded",""
"David Crausby","Labour","Bolton North East","No Vote Recorded",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Mary Creagh","Labour","Wakefield","Aye",""
"Stella Creasy","Labour","Walthamstow","No Vote Recorded",""
"Tracey Crouch","Conservative","Chatham and Aylesford","No Vote Recorded",""
"Jon Cruddas","Labour","Dagenham and Rainham","No Vote Recorded",""
"John Cryer","Labour","Leyton and Wanstead","No Vote Recorded",""
"Judith Cummins","Labour","Bradford South","Aye",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Jim Cunningham","Labour","Coventry South","Aye",""
"Nic Dakin","Labour","Scunthorpe","Aye",""
"Simon Danczuk","Independent","Rochdale","Aye",""
"Wayne David","Labour","Caerphilly","Aye",""
"Chris Davies","Conservative","Brecon and Radnorshire","No Vote Recorded",""
"David T. C. Davies","Conservative","Monmouth","No Vote Recorded",""
"Geraint Davies","Labour","Swansea West","Aye",""
"Glyn Davies","Conservative","Montgomeryshire","No Vote Recorded",""
"Mims Davies","Conservative","Eastleigh","No Vote Recorded",""
"Philip Davies","Conservative","Shipley","No Vote Recorded",""
"David Davis","Conservative","Haltemprice and Howden","No Vote Recorded",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No Vote Recorded",""
"Gloria De Piero","Labour","Ashfield","No Vote Recorded",""
"Thangam Debbonaire","Labour","Bristol West","Aye",""
"Caroline Dinenage","Conservative","Gosport","No Vote Recorded",""
"Jonathan Djanogly","Conservative","Huntingdon","No Vote Recorded",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","Aye",""
"Nigel Dodds","Democratic Unionist Party","Belfast North","No Vote Recorded",""
"Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","No Vote Recorded",""
"Stuart Blair Donaldson","Scottish National Party","West Aberdeenshire and Kincardine","Aye",""
"Michelle Donelan","Conservative","Chippenham","No Vote Recorded",""
"Nadine Dorries","Conservative","Mid Bedfordshire","No Vote Recorded",""
"Steve Double","Conservative","St Austell and Newquay","No Vote Recorded",""
"Stephen Doughty","Labour","Cardiff South and Penarth","No Vote Recorded",""
"Peter Dowd","Labour","Bootle","No Vote Recorded",""
"Oliver Dowden","Conservative","Hertsmere","No Vote Recorded",""
"Jackie Doyle-Price","Conservative","Thurrock","No Vote Recorded",""
"Richard Drax","Conservative","South Dorset","No Vote Recorded",""
"Jack Dromey","Labour","Birmingham, Erdington","No Vote Recorded",""
"James Duddridge","Conservative","Rochford and Southend East","No Vote Recorded",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No Vote Recorded",""
"Alan Duncan","Conservative","Rutland and Melton","No Vote Recorded",""
"Philip Dunne","Conservative","Ludlow","No Vote Recorded",""
"Mark Durkan","Social Democratic & Labour Party","Foyle","Aye",""
"Maria Eagle","Labour","Garston and Halewood","No Vote Recorded",""
"Angela Eagle","Labour","Wallasey","Aye",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","No Vote Recorded",""
"Clive Efford","Labour","Eltham","No Vote Recorded",""
"Julie Elliott","Labour","Sunderland Central","No Vote Recorded",""
"Michael Ellis","Conservative","Northampton North","No Vote Recorded",""
"Louise Ellman","Labour","Liverpool, Riverside","Aye",""
"Tobias Ellwood","Conservative","Bournemouth East","No Vote Recorded",""
"Chris Elmore","Labour","Ogmore","Aye",""
"Charlie Elphicke","Conservative","Dover","No Vote Recorded",""
"Bill Esterson","Labour","Sefton Central","Aye",""
"George Eustice","Conservative","Camborne and Redruth","No Vote Recorded",""
"Chris Evans","Labour","Islwyn","No Vote Recorded",""
"Nigel Evans","Conservative","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","No Vote Recorded",""
"Michael Fabricant","Conservative","Lichfield","No Vote Recorded",""
"Michael Fallon","Conservative","Sevenoaks","No Vote Recorded",""
"Paul Farrelly","Labour","Newcastle-under-Lyme","No Vote Recorded",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No Vote Recorded",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No Vote Recorded",""
"Margaret Ferrier","Scottish National Party","Rutherglen and Hamilton West","Aye",""
