Division Number: 106
Division Date: 12/12/2016

Savings (Government Contributions) Bill Report Stage Amendment 2

Aye Count: 227
Noes Count: 279

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Nigel Adams","Conservative","Selby and Ainsty","No",""
"Adam Afriyie","Conservative","Windsor","No",""
"Peter Aldous","Conservative","Waveney","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Lucy Allan","Conservative","Telford","No",""
"Heidi Allen","Conservative","South Cambridgeshire","No",""
"Rosena Allin-Khan","Labour","Tooting","Aye",""
"David Amess","Conservative","Southend West","No",""
"David Anderson","Labour","Blaydon","Aye",""
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No",""
"Edward Argar","Conservative","Charnwood","No",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","Aye",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Ian Austin","Labour","Dudley North","Aye",""
"Richard Bacon","Conservative","South Norfolk","No",""
"Adrian Bailey","Labour","West Bromwich West","Aye",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No",""
"Hannah Bardell","Scottish National Party","Livingston","Aye",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","Aye",""
"Gavin Barwell","Conservative","Croydon Central","No",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","Aye",""
"Henry Bellingham","Conservative","North West Norfolk","No",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","No",""
