Division Number: 197
Division Date: 19/04/2017

Technical and Further Education Bill: Lords Amendment 1 Motion to disagree

Aye Count: 298
Noes Count: 182

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Nigel Adams","Conservative","Selby and Ainsty","Aye",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Heidi Alexander","Labour","Lewisham East","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No",""
"Lucy Allan","Conservative","Telford","Aye",""
"Heidi Allen","Conservative","South Cambridgeshire","Aye",""
"Graham Allen","Labour","Nottingham North","No",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"David Amess","Conservative","Southend West","Aye",""
"David Anderson","Labour","Blaydon","No",""
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye",""
"Edward Argar","Conservative","Charnwood","Aye",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","Aye",""
"Adrian Bailey","Labour","West Bromwich West","No Vote Recorded",""
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Stephen Barclay","Conservative","North East Cambridgeshire","Aye",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","No",""
"Guto Bebb","Conservative","Aberconwy","Aye",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Henry Bellingham","Conservative","North West Norfolk","Aye",""
"Hilary Benn","Labour","Leeds Central","No",""
"Richard Benyon","Conservative","Newbury","Aye",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","Aye",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"James Berry","Conservative","Kingston and Surbiton","Aye",""
"Clive Betts","Labour","Sheffield South East","No",""
"Andrew Bingham","Conservative","High Peak","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Roberta Blackman-Woods","Labour","City of Durham","No",""
"Nicola Blackwood","Conservative","Life peer","Aye",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","No",""
"Paul Blomfield","Labour","Sheffield Central","No",""
"Crispin Blunt","Conservative","Reigate","Aye",""
"Nick Boles","Conservative","Grantham and Stamford","No Vote Recorded",""
"Peter Bone","Conservative","Wellingborough","Aye",""
"Victoria Borwick","Conservative","Kensington","Aye",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Tracy Brabin","Labour","Batley and Spen","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Ben Bradshaw","Labour","Exeter","No",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","No",""
"Suella Fernandes","Conservative","Fareham","Aye",""
"Julian Brazier","Conservative","Canterbury","Aye",""
"Kevin Brennan","Labour","Cardiff West","No",""
"Andrew Bridgen","Conservative","North West Leicestershire","Aye",""
"Steve Brine","Conservative","Winchester","Aye",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
