Division Number: 230
Division Date: 23/03/2016

High Speed Rail Bill Report Stage: New Clause 22

Aye Count: 190
Noes Count: 254

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","No Vote Recorded",""
"Peter Aldous","Conservative","Waveney","No",""
"Heidi Alexander","Labour","Lewisham East","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Lucy Allan","Conservative","Telford","No",""
"Heidi Allen","Conservative","South Cambridgeshire","No",""
"David Amess","Conservative","Southend West","No",""
"David Anderson","Labour","Blaydon","Aye",""
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No",""
"Edward Argar","Conservative","Charnwood","No",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No",""
"Adrian Bailey","Labour","West Bromwich West","No Vote Recorded",""
"Steve Baker","Conservative","Wycombe","No Vote Recorded",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","Aye",""
"Gavin Barwell","Conservative","Croydon Central","No",""
"Guto Bebb","Conservative","Aberconwy","No",""
"Margaret Beckett","Labour","Derby South","Aye",""
"Henry Bellingham","Conservative","North West Norfolk","No Vote Recorded",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No Vote Recorded",""
"Luciana Berger","Labour","Liverpool, Wavertree","Aye",""
"Jake Berry","Conservative","Rossendale and Darwen","No",""
"Clive Betts","Labour","Sheffield South East","No Vote Recorded",""
"Andrew Bingham","Conservative","High Peak","No",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Roberta Blackman-Woods","Labour","City of Durham","Aye",""
"Nicola Blackwood","Conservative","Life peer","No Vote Recorded",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","Aye",""
"Paul Blomfield","Labour","Sheffield Central","Aye",""
"Crispin Blunt","Conservative","Reigate","No",""
"Nick Boles","Conservative","Grantham and Stamford","No",""
"Peter Bone","Conservative","Wellingborough","No",""
"Victoria Borwick","Conservative","Kensington","No",""
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","Aye",""
"Suella Fernandes","Conservative","Fareham","No",""
"Julian Brazier","Conservative","Canterbury","No",""
"Kevin Brennan","Labour","Cardiff West","Aye",""
"Andrew Bridgen","Conservative","North West Leicestershire","No",""
"Steve Brine","Conservative","Winchester","No",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Lyn Brown","Labour","West Ham","Aye",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Fiona Bruce","Conservative","Congleton","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda","No Vote Recorded",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No",""
"Richard Burden","Labour","Birmingham, Northfield","Aye",""
"Richard Burgon","Labour","Leeds East","Aye",""
"Conor Burns","Conservative","Bournemouth West","No",""
"Simon Burns","Conservative","Chelmsford","No",""
"David Burrowes","Conservative","Enfield, Southgate","No",""
"Alistair Burt","Conservative","North East Bedfordshire","No",""
"Dawn Butler","Labour","Brent Central","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Alun Cairns","Conservative","Vale of Glamorgan","No",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"David Cameron","Conservative","Witney","No",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Ronnie Campbell","Labour","Blyth Valley","Aye",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No Vote Recorded",""
"Neil Carmichael","Conservative","Stroud","No",""
"Douglas Carswell","UK Independence Party","Clacton","No",""
"James Cartlidge","Conservative","South Suffolk","No",""
"William Cash","Conservative","Stone","No Vote Recorded",""
"Maria Caulfield","Conservative","Lewes","No",""
"Alex Chalk","Conservative","Cheltenham","No",""
"Sarah Champion","Labour","Rotherham","Aye",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Jenny Chapman","Labour","Darlington","Aye",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No",""
"Greg Clark","Conservative","Tunbridge Wells","No",""
"Kenneth Clarke","Conservative","Rushcliffe","No",""
"James Cleverly","Conservative","Braintree","No",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No Vote Recorded",""
"Ann Clwyd","Labour","Cynon Valley","No Vote Recorded",""
"Vernon Coaker","Labour","Gedling","Aye",""
"Ann Coffey","Labour","Stockport","No Vote Recorded",""
"Th?r?se Coffey","Conservative","Suffolk Coastal","No",""
"Damian Collins","Conservative","Folkestone and Hythe","No",""
"Oliver Colvile","Conservative","Plymouth, Sutton and Devonport","No",""
"Julie Cooper","Labour","Burnley","Aye",""
"Rosie Cooper","Labour","West Lancashire","No Vote Recorded",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye",""
"Jeremy Corbyn","Labour","Islington North","Aye",""
"Alberto Costa","Conservative","South Leicestershire","No",""
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Jo Cox","Labour","Batley and Spen","Aye",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No Vote Recorded",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No",""
"David Crausby","Labour","Bolton North East","No Vote Recorded",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Mary Creagh","Labour","Wakefield","Aye",""
"Stella Creasy","Labour","Walthamstow","Aye",""
"Tracey Crouch","Conservative","Chatham and Aylesford","No Vote Recorded",""
"Jon Cruddas","Labour","Dagenham and Rainham","Aye",""
"John Cryer","Labour","Leyton and Wanstead","Aye",""
"Judith Cummins","Labour","Bradford South","Teller - Ayes",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Jim Cunningham","Labour","Coventry South","Aye",""
"Nic Dakin","Labour","Scunthorpe","Aye",""
"Simon Danczuk","Independent","Rochdale","Aye",""
"Wayne David","Labour","Caerphilly","No Vote Recorded",""
"Byron Davies","Conservative","Gower","No",""
"Chris Davies","Conservative","Brecon and Radnorshire","No",""
"David T. C. Davies","Conservative","Monmouth","No",""
"James Davies","Conservative","Vale of Clwyd","No",""
"Geraint Davies","Labour","Swansea West","No Vote Recorded",""
"Glyn Davies","Conservative","Montgomeryshire","No",""
"Mims Davies","Conservative","Eastleigh","No",""
"Philip Davies","Conservative","Shipley","No Vote Recorded",""
"David Davis","Conservative","Haltemprice and Howden","No Vote Recorded",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No Vote Recorded",""
"Gloria De Piero","Labour","Ashfield","Aye",""
"Thangam Debbonaire","Labour","Bristol West","No Vote Recorded",""
"Caroline Dinenage","Conservative","Gosport","No",""
"Jonathan Djanogly","Conservative","Huntingdon","No",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No Vote Recorded",""
"Nigel Dodds","Democratic Unionist Party","Belfast North","No",""
"Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","No Vote Recorded",""
"Michelle Donelan","Conservative","Chippenham","No Vote Recorded",""
"Nadine Dorries","Conservative","Mid Bedfordshire","No Vote Recorded",""
"Steve Double","Conservative","St Austell and Newquay","No",""
"Stephen Doughty","Labour","Cardiff South and Penarth","Aye",""
"Jim Dowd","Labour","Lewisham West and Penge","Aye",""
"Peter Dowd","Labour","Bootle","Aye",""
"Oliver Dowden","Conservative","Hertsmere","No",""
"Jackie Doyle-Price","Conservative","Thurrock","No",""
"Richard Drax","Conservative","South Dorset","No Vote Recorded",""
"Jack Dromey","Labour","Birmingham, Erdington","Aye",""
"Flick Drummond","Conservative","Portsmouth South","No",""
"James Duddridge","Conservative","Rochford and Southend East","No",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No",""
"Alan Duncan","Conservative","Rutland and Melton","No",""
"Philip Dunne","Conservative","Ludlow","No",""
"Maria Eagle","Labour","Garston and Halewood","Aye",""
"Angela Eagle","Labour","Wallasey","Aye",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","Aye",""
"Clive Efford","Labour","Eltham","Aye",""
"Julie Elliott","Labour","Sunderland Central","Aye",""
"Tom Elliott","Ulster Unionist Party","Fermanagh and South Tyrone","No",""
"Michael Ellis","Conservative","Northampton North","No",""
"Jane Ellison","Conservative","Battersea","No",""
"Louise Ellman","Labour","Liverpool, Riverside","Aye",""
"Tobias Ellwood","Conservative","Bournemouth East","No",""
"Charlie Elphicke","Conservative","Dover","No",""
"Bill Esterson","Labour","Sefton Central","No Vote Recorded",""
"George Eustice","Conservative","Camborne and Redruth","No",""
"Chris Evans","Labour","Islwyn","Aye",""
"Graham Evans","Conservative","Weaver Vale","No",""
"Nigel Evans","Conservative","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","No",""
"Michael Fabricant","Conservative","Lichfield","No Vote Recorded",""
"Michael Fallon","Conservative","Sevenoaks","No",""
"Paul Farrelly","Labour","Newcastle-under-Lyme","Aye",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No Vote Recorded",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No Vote Recorded",""
"Frank Field","Labour","Birkenhead","No Vote Recorded",""
"Mark Field","Conservative","Cities of London and Westminster","No",""
"Jim Fitzpatrick","Labour","Poplar and Limehouse","Aye",""
"Colleen Fletcher","Labour","Coventry North East","Aye",""
"Caroline Flint","Labour","Don Valley","Aye",""
"Paul Flynn","Labour","Newport West","Aye",""
"Kevin Foster","Conservative","Torbay","No",""
"Yvonne Fovargue","Labour","Makerfield","Aye",""
"Liam Fox","Conservative","North Somerset","No Vote Recorded",""
"Vicky Foxcroft","Labour","Lewisham, Deptford","Aye",""
"Mark Francois","Conservative","Rayleigh and Wickford","No",""
