Division Number: 114
Division Date: 16/12/2016

Preventing and Combating Violence against Women and Domestic Violence (Ratification of Convention) Bill: Second Reading

Aye Count: 135
Noes Count: 2

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","No Vote Recorded",""
"Tasmina Ahmed-Sheikh","Scottish National Party","Ochil and South Perthshire","Aye",""
"Peter Aldous","Conservative","Waveney","No Vote Recorded",""
"Heidi Alexander","Labour","Lewisham East","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No Vote Recorded",""
"Lucy Allan","Conservative","Telford","No Vote Recorded",""
"Heidi Allen","Conservative","South Cambridgeshire","No Vote Recorded",""
"Rosena Allin-Khan","Labour","Tooting","Aye",""
"David Amess","Conservative","Southend West","No Vote Recorded",""
"Stuart Andrew","Conservative","Pudsey","No Vote Recorded",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","Aye",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","No Vote Recorded",""
"Steve Baker","Conservative","Wycombe","No Vote Recorded",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Stephen Barclay","Conservative","North East Cambridgeshire","Aye",""
"Hannah Bardell","Scottish National Party","Livingston","Aye",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","No Vote Recorded",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Henry Bellingham","Conservative","North West Norfolk","No Vote Recorded",""
"Hilary Benn","Labour","Leeds Central","No Vote Recorded",""
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No Vote Recorded",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","No Vote Recorded",""
"Clive Betts","Labour","Sheffield South East","No Vote Recorded",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye",""
