Division Number: 128
Division Date: 24/01/2017

Ten Minute Rule Motion: Industrial Action (Protection of Critical National Services)

Aye Count: 127
Noes Count: 206

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Heidi Alexander","Labour","Lewisham East","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No",""
"Lucy Allan","Conservative","Telford","Aye",""
"Heidi Allen","Conservative","South Cambridgeshire","Aye",""
"Rosena Allin-Khan","Labour","Tooting","No",""
"David Amess","Conservative","Southend West","Aye",""
"Stuart Andrew","Conservative","Pudsey","No Vote Recorded",""
"Caroline Ansell","Conservative","Eastbourne","Aye",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","No",""
"Jonathan Ashworth","Labour","Leicester South","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","No Vote Recorded",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","No Vote Recorded",""
"Steve Baker","Conservative","Wycombe","Teller - Ayes",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","No",""
"John Baron","Conservative","Basildon and Billericay","Aye",""
"Kevin Barron","Labour","Rother Valley","No Vote Recorded",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Henry Bellingham","Conservative","North West Norfolk","Aye",""
"Hilary Benn","Labour","Leeds Central","No Vote Recorded",""
"Richard Benyon","Conservative","Newbury","Aye",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","Aye",""
"Luciana Berger","Labour","Liverpool, Wavertree","No",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"Clive Betts","Labour","Sheffield South East","No",""
"Andrew Bingham","Conservative","High Peak","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No",""
"Roberta Blackman-Woods","Labour","City of Durham","No",""
"Nicola Blackwood","Conservative","Life peer","No Vote Recorded",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","No",""
"Paul Blomfield","Labour","Sheffield Central","No",""
"Crispin Blunt","Conservative","Reigate","Aye",""
"Nick Boles","Conservative","Grantham and Stamford","No Vote Recorded",""
"Peter Bone","Conservative","Wellingborough","Aye",""
"Victoria Borwick","Conservative","Kensington","Aye",""
"Philip Boswell","Scottish National Party","Coatbridge, Chryston and Bellshill","No",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Tracy Brabin","Labour","Batley and Spen","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","No",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","No Vote Recorded",""
"Suella Fernandes","Conservative","Fareham","No Vote Recorded",""
"Julian Brazier","Conservative","Canterbury","Aye",""
"Kevin Brennan","Labour","Cardiff West","No",""
"Andrew Bridgen","Conservative","North West Leicestershire","Aye",""
"Steve Brine","Conservative","Winchester","No Vote Recorded",""
