Division Number: 131
Division Date: 25/01/2017

Draft Bank of England and Financial Services (Consequential Amendments) Regulations 2017

Aye Count: 292
Noes Count: 191

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Nigel Adams","Conservative","Selby and Ainsty","Aye",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Heidi Alexander","Labour","Lewisham East","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No Vote Recorded",""
"Lucy Allan","Conservative","Telford","Aye",""
"Heidi Allen","Conservative","South Cambridgeshire","Aye",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"David Amess","Conservative","Southend West","Aye",""
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","No",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","Aye",""
"Adrian Bailey","Labour","West Bromwich West","No",""
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Stephen Barclay","Conservative","North East Cambridgeshire","Aye",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","Aye",""
"Kevin Barron","Labour","Rother Valley","No",""
"Guto Bebb","Conservative","Aberconwy","Aye",""
"Margaret Beckett","Labour","Derby South","No",""
"Henry Bellingham","Conservative","North West Norfolk","Aye",""
"Hilary Benn","Labour","Leeds Central","No",""
"Richard Benyon","Conservative","Newbury","Aye",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","Aye",""
"Luciana Berger","Labour","Liverpool, Wavertree","No",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"James Berry","Conservative","Kingston and Surbiton","Aye",""
