Division Number: 244
Division Date: 23/10/2018

Ten Minute Rule Motion: Abortion

Aye Count: 208
Noes Count: 123

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Bim Afolami","Conservative","Hitchin and Harpenden","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","No Vote Recorded",""
"Peter Aldous","Conservative","Waveney","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Lucy Allan","Conservative","Telford","No Vote Recorded",""
"Heidi Allen","Conservative","South Cambridgeshire","Aye",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Mike Amesbury","Labour","Weaver Vale","Aye",""
"David Amess","Conservative","Southend West","No",""
"Stuart Andrew","Conservative","Pudsey","No Vote Recorded",""
"Tonia Antoniazzi","Labour","Gower","Aye",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No",""
"Kemi Badenoch","Conservative","Saffron Walden","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","Aye",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","Aye",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","Aye",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"?rfhlaith Begley","Sinn F?in","West Tyrone","No Vote Recorded",""
"Henry Bellingham","Conservative","North West Norfolk","No",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
